"link","showname","seasons","episodes","rating","poster"
"https://seriesgraph.com/show/13023-el-chapuln-colorado","El Chapulín Colorado","7","42","8.5","https://image.tmdb.org/t/p/w400/rcLjSvfQVxE27TidowGra2A3aYq.jpg"
"https://seriesgraph.com/show/58111-extant","Extant","2","13","6.5","https://image.tmdb.org/t/p/w400/nFwqHXoP1FxFbd8G8dY13y9bfAX.jpg"
"https://seriesgraph.com/show/197067-extraordinary-attorney-woo","Extraordinary Attorney Woo","","16","8.5","https://image.tmdb.org/t/p/w400/zuNOQVI4rEaqwknrfQUVKtlKE2C.jpg"
"https://seriesgraph.com/show/2693-extras","Extras","2","7","8.3","https://image.tmdb.org/t/p/w400/oxiA2O4wRBCOzvfxYjNKZQuitQc.jpg"
"https://seriesgraph.com/show/46261-fairy-tail","Fairy Tail","8","54","7.8","https://image.tmdb.org/t/p/w400/h50lj7xO65qafNYZCrfQ7ztkMBD.jpg"
"https://seriesgraph.com/show/82809-false-identity","False Identity","2","91","7.0","https://image.tmdb.org/t/p/w400/rGIVID9KFrE6oMOtqost2Ccd9Co.jpg"
"https://seriesgraph.com/show/61415-fatestay-night-unlimited-blade-works","Fate/stay night [Unlimited Blade Works]","2","14","8.0","https://image.tmdb.org/t/p/w400/jyqi5BkDoKKIA2WAoz3HBtRHld3.jpg"
"https://seriesgraph.com/show/97175-fate-the-winx-saga","Fate: The Winx Saga","2","7","6.8","https://image.tmdb.org/t/p/w400/oHj6guMrLfQcBzo3uxwBJc8Y736.jpg"
"https://seriesgraph.com/show/87049-firefly-lane","Firefly Lane","2","16","7.7","https://image.tmdb.org/t/p/w400/2AavbPEEXzyy7Smyusozyz48T1n.jpg"
"https://seriesgraph.com/show/19092-flashforward","FlashForward","","22","7.6","https://image.tmdb.org/t/p/w400/7iu2HJ8ZSNbBgFLi42JNcuPjBax.jpg"
"https://seriesgraph.com/show/5895-flcl","FLCL","1","6","8.1","https://image.tmdb.org/t/p/w400/FkgA8CcmiLJGVCRYRQ2g2UfVtF.jpg"
"https://seriesgraph.com/show/67070-fleabag","Fleabag","2","6","8.7","https://image.tmdb.org/t/p/w400/27vEYsRKa3eAniwmoccOoluEXQ1.jpg"
"https://seriesgraph.com/show/62273-food-wars-shokugeki-no-soma","Food Wars! Shokugeki no Soma","5","26","8.0","https://image.tmdb.org/t/p/w400/eAQHqcJXP0FBzXvQkIV5g5ZueZb.jpg"
"https://seriesgraph.com/show/60726-forever","Forever","","22","8.2","https://image.tmdb.org/t/p/w400/4OnnU4j2tQEOnsPnRZswW91v9vr.jpg"
"https://seriesgraph.com/show/87083-formula-1-drive-to-survive","Formula 1: Drive to Survive","9","10","8.5","https://image.tmdb.org/t/p/w400/xGOGjJFYYeRSoOpnhN9IHZTXIxj.jpg"
"https://seriesgraph.com/show/1720-fosters-home-for-imaginary-friends","Foster's Home for Imaginary Friends","6","21","7.5","https://image.tmdb.org/t/p/w400/kj6oGL4qqFDY8PGmTloqGQ2TblS.jpg"
"https://seriesgraph.com/show/2382-freaks-and-geeks","Freaks and Geeks","","18","8.8","https://image.tmdb.org/t/p/w400/tPqV63zcW6ZV0Hd48DMGb5UzQIG.jpg"
"https://seriesgraph.com/show/60626-from-dusk-till-dawn-the-series","From Dusk Till Dawn: The Series","3","10","6.8","https://image.tmdb.org/t/p/w400/pAfTOb7lHvRlTa86jw99nM8iU3K.jpg"
"https://seriesgraph.com/show/73157-future-man","Future Man","3","13","7.6","https://image.tmdb.org/t/p/w400/49mOgAEa4eKpPsoBH8UvvXwEMDT.jpg"
"https://seriesgraph.com/show/85021-gangs-of-london","Gangs of London","4","9","8.0","https://image.tmdb.org/t/p/w400/fVgwa6wGw9ddGM5O7mqrrwB6gHK.jpg"
"https://seriesgraph.com/show/1095-ghost-in-the-shell-stand-alone-complex","Ghost in the Shell: Stand Alone Complex","2","26","8.5","https://image.tmdb.org/t/p/w400/6UH2vJryPpQp38noqvchu3uEeqX.jpg"
"https://seriesgraph.com/show/34105-golden-boy","Golden Boy","1","6","8.0","https://image.tmdb.org/t/p/w400/ahkQ6qnqouwZw7nro2YDEYLzrNn.jpg"
"https://seriesgraph.com/show/67389-golden-time","Golden Time","","24","7.6","https://image.tmdb.org/t/p/w400/8HfxpBAOTNbWRemKwaLKNRjzaiy.jpg"
"https://seriesgraph.com/show/95249-gossip-girl","Gossip Girl","2","12","5.4","https://image.tmdb.org/t/p/w400/4XmRg3iF1drIikTzRLUfn7cJDio.jpg"
"https://seriesgraph.com/show/83659-guillermo-del-toros-cabinet-of-curiosities","Guillermo del Toro's Cabinet of Curiosities","1","8","7.0","https://image.tmdb.org/t/p/w400/a91e9hpWwfCqxJI4xM9Q2RhuxgI.jpg"
"https://seriesgraph.com/show/54155-hanna","Hanna","3","8","7.6","https://image.tmdb.org/t/p/w400/iYUtjx1EN4SVTgxd2TB4cZTGSQb.jpg"
"https://seriesgraph.com/show/61244-happy-valley","Happy Valley","3","6","8.5","https://image.tmdb.org/t/p/w400/xZK5iQSrn2mouZEk2PwyLPCwa4u.jpg"
"https://seriesgraph.com/show/124834-heartstopper","Heartstopper","3","8","8.5","https://image.tmdb.org/t/p/w400/wJJt1HG62h3WoGnLcRIbO2nNNkg.jpg"
"https://seriesgraph.com/show/42295-hemlock-grove","Hemlock Grove","3","13","7.0","https://image.tmdb.org/t/p/w400/sjGOYM7GTG03aWUZIFOUiFDTeoL.jpg"
"https://seriesgraph.com/show/87623-hercai","Hercai","3","38","6.6","https://image.tmdb.org/t/p/w400/6VGJ281Lk2gbrTqZlegKqevzG7D.jpg"
"https://seriesgraph.com/show/85801-high-school-musical-the-musical-the-series","High School Musical: The Musical: The Series","4","12","7.1","https://image.tmdb.org/t/p/w400/2KmbFkZD42I8Q7IZy4WxmZm9W6O.jpg"
"https://seriesgraph.com/show/67126-himouto-umaru-chan","Himouto! Umaru-chan","2","14","7.1","https://image.tmdb.org/t/p/w400/3Vif9pWDEWtQg0gTREOV4lBEBCP.jpg"
"https://seriesgraph.com/show/259731-his-hers","HIS & HERS","1","6","7.1","https://image.tmdb.org/t/p/w400/cDSXLVQLkCSBIpBx3UW04TsfZ5c.jpg"
"https://seriesgraph.com/show/98161-home-before-dark","Home Before Dark","2","10","7.4","https://image.tmdb.org/t/p/w400/mt4P2epJrSaqrlkMP9fTUKLP9OE.jpg"
"https://seriesgraph.com/show/128883-hometown-cha-cha-cha","Hometown Cha-Cha-Cha","","16","8.3","https://image.tmdb.org/t/p/w400/en6lrlJ1DhyvkeZEqrk3R6EJz1p.jpg"
"https://seriesgraph.com/show/62822-humans","Humans","3","8","7.9","https://image.tmdb.org/t/p/w400/iBjjSGgnjAQBSQGO9pYIh7Gp2PO.jpg"
"https://seriesgraph.com/show/119243-icarly","iCarly","3","13","6.7","https://image.tmdb.org/t/p/w400/tM4P2RNIIFzFJi7UngNVB80sRCp.jpg"
"https://seriesgraph.com/show/80743-insatiable","Insatiable","2","12","6.5","https://image.tmdb.org/t/p/w400/lHZ4xqGQlmyiFTOVtwnNpTcZgkd.jpg"
"https://seriesgraph.com/show/97727-inside-job","Inside Job","2","10","7.7","https://image.tmdb.org/t/p/w400/qwJUDMJ4i3KBYjeUFK9Js87iJEa.jpg"
"https://seriesgraph.com/show/96444-interspecies-reviewers","Interspecies Reviewers","1","12","7.1","https://image.tmdb.org/t/p/w400/xJZwaZAXoon6wxkgXiWQNEeyW4C.jpg"
"https://seriesgraph.com/show/128098-interview-with-the-vampire","Interview with the Vampire","3","8","7.6","https://image.tmdb.org/t/p/w400/Afv4pPhqVMg2wOmhuDLiGUw4r4O.jpg"
"https://seriesgraph.com/show/47450-into-the-badlands","Into the Badlands","3","16","7.9","https://image.tmdb.org/t/p/w400/jtceMKMxHSriLFUGAUfqHsW7uCo.jpg"
"https://seriesgraph.com/show/19614-it","It","1","2","6.8","https://image.tmdb.org/t/p/w400/4ybQ6gopB3H3cu0seVZLznDnIKo.jpg"
"https://seriesgraph.com/show/96462-its-okay-to-not-be-okay","It's Okay to Not Be Okay","","16","8.6","https://image.tmdb.org/t/p/w400/8XSJfLeImX8NszDUFnK1lbseCi8.jpg"
"https://seriesgraph.com/show/365-jericho","Jericho","2","22","7.9","https://image.tmdb.org/t/p/w400/a57H9UsS388Av2LSLKO9inNmY7j.jpg"
"https://seriesgraph.com/show/19649-jesus-of-nazareth","Jesus of Nazareth","1","4","8.5","https://image.tmdb.org/t/p/w400/dlGmVpZ2rpGRDZsSa64nzyu90xk.jpg"
"https://seriesgraph.com/show/93741-jurassic-world-camp-cretaceous","Jurassic World Camp Cretaceous","5","12","7.5","https://image.tmdb.org/t/p/w400/nkCbCmlwjwT6QL44DqG7qE9ch8H.jpg"
"https://seriesgraph.com/show/1618-justice-league","Justice League","2","26","8.5","https://image.tmdb.org/t/p/w400/caIAQIoM9NLZofT8fz8t47W1gYe.jpg"
"https://seriesgraph.com/show/62741-kamisama-kiss","Kamisama Kiss","2","13","8.1","https://image.tmdb.org/t/p/w400/5E7GL8KxpFemEFl3Lv8Fu4RuSwa.jpg"
"https://seriesgraph.com/show/62413-killjoys","Killjoys","5","10","7.2","https://image.tmdb.org/t/p/w400/xnQ7WVAxlk9UAVWDLDeYGTKRaOf.jpg"
"https://seriesgraph.com/show/70593-kingdom","Kingdom","2","6","8.3","https://image.tmdb.org/t/p/w400/AsICtiVtz4icMQQRwDvOzfaTzjK.jpg"
"https://seriesgraph.com/show/15655-knight-rider","Knight Rider","","17","5.6","https://image.tmdb.org/t/p/w400/e93H0P6GYoDUhHR5uCdmfLDAvKt.jpg"
"https://seriesgraph.com/show/45783-kurokos-basketball","Kuroko's Basketball","3","26","8.2","https://image.tmdb.org/t/p/w400/qi8dlAgQEeahpEn1AOb5BJEOcVB.jpg"
"https://seriesgraph.com/show/219-kyle-xy","Kyle XY","3","23","7.4","https://image.tmdb.org/t/p/w400/4omwjf3HgGx4nZXcA0Avmd9bQny.jpg"
